@RELATION RUN_EVALUATIONS

@ATTRIBUTE openml_data_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE predictive_accuracy NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
2,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.993318,ok
2,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.991091,ok
2,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.989978,ok
2,1,6409_weka.FilteredClassifier_NaiveBayes,0.865256,ok
2,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.992205,ok
2,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.995546,ok
2,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0,other
3,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.997184,ok
3,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.993429,ok
3,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.965269,ok
3,1,6409_weka.FilteredClassifier_NaiveBayes,0.873905,ok
3,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.97403,ok
3,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.995307,ok
3,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0.989049,ok
6,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.97725,ok
6,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.8829,ok
6,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.95995,ok
6,1,6409_weka.FilteredClassifier_NaiveBayes,0.64105,ok
6,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.774,ok
6,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.96665,ok
6,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0,other
11,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.9968,ok
11,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.768,ok
11,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.8928,ok
11,1,6409_weka.FilteredClassifier_NaiveBayes,0.9072,ok
11,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.896,ok
