@RELATION RUN_EVALUATIONS

@ATTRIBUTE openml_task_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE area_under_roc_curve NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
2097,1,8990_weka.MultilayerPerceptron,0.973519,ok
2097,1,8994_weka.MultilayerPerceptron,0.972319,ok
2097,1,8995_weka.MultilayerPerceptron,0.980734,ok
2097,1,2869_weka.SMO_PolyKernel,0.95976,ok
2097,1,2361_weka.OneR,0.745832,ok
2097,1,2362_weka.J48,0.927077,ok
2097,1,2364_weka.IBk,0.94199,ok
2097,1,2367_weka.REPTree,0.965278,ok
2097,1,2368_weka.RandomTree,0.908039,ok
2097,1,2369_weka.RandomForest,0.992258,ok
2097,1,2370_weka.LMT,0.979291,ok
2097,1,2371_weka.HoeffdingTree,0.919117,ok
2097,1,2882_weka.SMO_RBFKernel,0.938857,ok
2097,1,2373_weka.JRip,0.957052,ok
2097,1,2889_weka.IBk,0.987832,ok
2097,1,2891_weka.HyperPipes,0.825627,ok
2097,1,2893_weka.OLM,0.616056,ok
2097,1,2381_weka.NaiveBayes,0.919219,ok
2097,1,2894_weka.FURIA,0.959329,ok
2097,1,6352_weka.BayesNet,0.934163,ok
2097,1,2897_weka.ConjunctiveRule,0.711374,ok
2097,1,2898_weka.SimpleCart,0.961544,ok
2097,1,6355_weka.AdaBoostM1_NaiveBayes,0.89853,ok
2097,1,2900_weka.LADTree,0.963913,ok
2097,1,2903_weka.AdaBoostM1_DecisionStump,0.701321,ok
2097,1,2647_weka.Logistic,0.980855,ok
2097,1,2904_weka.AdaBoostM1_J48,0.974091,ok
2097,1,2906_weka.Bagging_REPTree,0.987746,ok
2097,1,6250_weka.DecisionTable,0.962132,ok
2097,1,6378_weka.LogitBoost_DecisionStump,0.978179,ok
2098,1,8990_weka.MultilayerPerceptron,0.772588,ok
2098,1,8994_weka.MultilayerPerceptron,0.775407,ok
2098,1,8995_weka.MultilayerPerceptron,0.770155,ok
2098,1,2869_weka.SMO_PolyKernel,0.718983,ok
2098,1,2361_weka.OneR,0.562232,ok
2098,1,2362_weka.J48,0.584554,ok
2098,1,2364_weka.IBk,0.552013,ok
2098,1,2367_weka.REPTree,0.714314,ok
2098,1,2368_weka.RandomTree,0.55039,ok
2098,1,2369_weka.RandomForest,0.737029,ok
2098,1,2370_weka.LMT,0.768942,ok
2098,1,2371_weka.HoeffdingTree,0.707415,ok
2098,1,2882_weka.SMO_RBFKernel,0.645357,ok
2098,1,2373_weka.JRip,0.5529,ok
2098,1,2889_weka.IBk,0.692194,ok
2098,1,2891_weka.HyperPipes,0.569801,ok
2098,1,2893_weka.OLM,0.514325,ok
2098,1,2381_weka.NaiveBayes,0.707659,ok
2098,1,2894_weka.FURIA,0.568619,ok
2098,1,6352_weka.BayesNet,0.710345,ok
2098,1,2897_weka.ConjunctiveRule,0.642443,ok
2098,1,2898_weka.SimpleCart,0.737464,ok
2098,1,6355_weka.AdaBoostM1_NaiveBayes,0.707659,ok
2098,1,2900_weka.LADTree,0.74347,ok
2098,1,2903_weka.AdaBoostM1_DecisionStump,0.62957,ok
2098,1,2647_weka.Logistic,0.773724,ok
2098,1,2904_weka.AdaBoostM1_J48,0.660198,ok
2098,1,2906_weka.Bagging_REPTree,0.737986,ok
2098,1,6250_weka.DecisionTable,0.719653,ok
2098,1,6378_weka.LogitBoost_DecisionStump,0.749138,ok
2102,1,8990_weka.MultilayerPerceptron,0.864344,ok
2102,1,8994_weka.MultilayerPerceptron,0.880821,ok
2102,1,8995_weka.MultilayerPerceptron,0.857566,ok
2102,1,2869_weka.SMO_PolyKernel,0.866959,ok
2102,1,2361_weka.OneR,0.735967,ok
2102,1,2362_weka.J48,0.841607,ok
2102,1,2364_weka.IBk,0.690273,ok
2102,1,2367_weka.REPTree,0.720247,ok
2102,1,2368_weka.RandomTree,0.699721,ok
2102,1,2369_weka.RandomForest,0.860178,ok
2102,1,2370_weka.LMT,0.891079,ok
2102,1,2371_weka.HoeffdingTree,0.853045,ok
2102,1,2882_weka.SMO_RBFKernel,0.726456,ok
2102,1,2373_weka.JRip,0.829956,ok
2102,1,2889_weka.IBk,0.836497,ok
2102,1,2891_weka.HyperPipes,0.771216,ok
2102,1,2893_weka.OLM,0.540059,ok
